genome,D300693,D300694,D300695,D300696,D300697,D300698,D300699,D300700,D300701,D300702,D300703,D300704,D300705,D300706,D300707,D300708,D300709,D300710,D300711,D300712,D300713,D300714,D300715,D300716,D300717,D300718,D300719,D300720,D300721,D300722,D300723,D300724,D300725,D300726,D300727,D300728,D300729,D300730,D300731,D300732,D300733,D300734,D300735,D300736,D300737,D300738,D300739,D300740,D300741,D300742,D300743,D300744,D300745,D300746,D300747,D300748,D300749,D300750,D300751,D300752,D300753,D300754,D300755,D300756,D300757,D300758,D300759,D300760,D300761,D300762,D300763,D300764,D300765,D300766,D300767
21-TM3:bin_000020,0,0,0,0,0,0,0,0,0,0,3.219,0,1.365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.77,0,1.494,0,0,0,0,0,0,0,0,0,0,2.088,0,0,0,0,0,0.722,0,0,0,2.883,6.307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21-TM4:bin_000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.261,0,0,0,8.177,3.502,1.73,0,0,3.13,4.935,6.446,0,0,8.089,0
21-TM4:bin_000017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.956,0,1.083,0,1.179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.805,2.737,0,5.04,4.385,1.003,4.068,0,0,4.232,1.946,0.54,1.25,0,14.554,0
21-TM4:bin_000041,26.705,12.622,4.285,0,0,0,0,0.808,0,0,0,0,0,0,0,6.287,2.775,1.144,4.221,13.272,1.665,21.726,0,0,0,0,4.111,0,0,0,0,0.857,0,2.457,4.876,0,4.195,6.837,17.696,0,33.564,0,0,0,0,0,0,0,0,0,0,0,0,0,10.448,2.255,2.585,6.172,9.534,1.654,1.097,0.838,5.46,1.601,1.4,3.376,4.823,1.536,0.912,1.244,2.143,5.484,5.842,5.821,0
21-TM4:bin_000042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.529,0,0,0,11.033,0.648,4.054,0,0,2.657,1.124,16.514,6.615,0,14.178,0
21-TM4:bin_000052,69.634,39.565,0,0,0,0,0,3.678,0,0,0,0,0,0,0,0,0,0,2.777,0,22.218,23.803,0,0,0,2.822,8.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.851,0,0,0,0,0,0,0,0,0,9.677,0,29.118,0
21-TM4:bin_000053,10.551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.936,0,3.35,0,1.509,3.759,0,0,0,0,0.644,0,0,0,0,0,0,0,0,0,1.854,0.753,1.352,0,8.635,0,0,0,0,0,0,0,0,0,0,0,0,0,2.389,0,0,0.94,3.502,7.006,0.919,1.351,1.823,10.267,3.216,3.056,5.776,11.083,1.378,3.614,1.303,4.244,1.923,6.049,0
D300693:bin_000003,18.698,4.731,9.855,9.261,0,0,0,1.723,0,0,0,0,2.669,1.446,0,2.598,9.874,7.133,3.353,5.854,4.227,2.869,0,0,0.573,1.998,3.01,0,0,0,2.947,1.14,0,5.559,2.088,0,1.398,3.578,2.83,0,6.09,0,0,0,0,0,0,0,0,0,0,0,0,0,5.069,3.91,0.654,2.798,9.372,12.403,2.98,0,2.085,18.261,1.429,3.525,7.014,2.222,1.763,4.066,1.685,8.895,3.079,5.636,0
D300693:bin_000006,16.109,6.613,12.968,7.754,0,0,0,0,0,0,0,0,0,0,0,6.574,3.794,5.545,4.054,31.083,1.969,4.763,0,0,0,0,1.028,0,0,0,0,0,0,0.558,0,0,1.749,0.728,5.256,0,5.473,0,0,0,0,0,0,0,0,0,0,0,0,0,5.462,1.112,0.646,0.749,1.914,0.57,2.283,0.643,1.514,0.895,1.308,2.216,3.506,2.334,0.642,0,0,1.355,2.241,4.791,0
D300693:bin_000013,28.662,9.063,13.58,10.954,0,0,0,1.314,0,0,0,0,2.275,0.684,0,7.047,9.924,6.821,4.877,19.512,1.129,3.491,0,0,0,1.147,2.281,0.674,0.861,0,2.307,1.727,0,4.253,1.898,0,6.919,3.634,8.579,0,6.397,0,0,0,0,0,0,0,0,0,0,0,0,0,13.279,13.696,1.492,2.068,5.849,4.517,1.512,0,2.163,4.092,3.831,11.758,8.578,7.522,4.852,2.859,2.325,3.612,8.777,9.069,0
D300696:bin_000035,4.846,1.97,2.624,6.022,0,0,0,0.868,0,0,0,0,1.778,1.194,0,0.905,3.711,2.038,2.414,4.001,0.949,1.345,0,0,0,0,0.707,0,2.002,0,1.708,0.562,0,1.023,1.075,0,1.461,1.296,1.205,0,2.263,0,0,0,0,0,0,0,0,0,0,0,0,0,1.992,0,0,0.65,2.608,2.116,0.554,0,1.575,2.352,1.139,2.118,2.917,1.548,1.689,0.937,0.966,1.627,1.571,1.936,0
D300699:bin_000001,0,0,0,0,9.459,31.661,84.81,10.951,5.608,11.925,68.451,15.094,16.206,33.954,0,4.715,5.231,3.786,0,0,0,0,0,18.005,4.309,9.592,7.709,32.744,66.041,20.807,100.67,8.57,149.462,7.469,8.814,0,0,0,0,0,0,12.189,1.854,7.853,5.634,166.586,10.492,41.545,88.65,51.084,3.194,15.608,54.768,53.123,0,0,0,0,0,7.375,1.861,5.901,6.866,7.459,12.316,1.507,3.225,3.737,3.132,5.762,5.755,1.136,2.332,3.418,0
D300700:bin_000001,0,0,0,0,0,0,0,23.084,0,0,0,0,0,0,0,0,0,0,2.429,0,0,0,0,0,0,0,0,0,0,0,0,1.259,0,0.908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.35,0,0,0,0,0,0,0,0,0,0,0,0
D300706:bin_000006,0,0,0,0,0,0,2.929,0,0,0,2.33,1.468,0,14.589,0.649,68.757,0.903,0,32.041,0,0,4.02,0,0.885,0.533,0.718,26.849,1.266,14.816,1.078,23.934,1.445,10.227,3.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300708:bin_000028,19.888,3.919,2.568,0,0,0,0,0.539,0,0,0,0,2.552,1.285,1.932,25.208,11.662,2.642,53.734,6.128,12.513,24.36,0,0,0,3.444,0,0,0,0,0,1.387,0,4.499,3.856,0,8.509,11.769,3.626,0,5.664,0,0,0,0,0,0,0,0,0,0,0,0,0,2.821,21.75,2.236,6.122,0,0.796,1.036,0,4.24,1.503,1.633,4.719,1.338,2.657,0,1.148,0.861,0,5.533,8.561,0
D300709:bin_000042,16.316,15.262,9.754,8.5,0,0,0,3.555,0,0,0,0,4.489,3.382,0,11.285,8.546,1.994,8.102,36.458,8.024,7.052,0,0,0,4.791,1.448,0,8.843,0,0,7.43,0.818,8.181,7.842,0,4.276,4.685,7.644,0,6.503,0,0,0,0,0,0,0,0,0,0,0,0,0,8.252,2.731,0.953,0,7.421,2.908,3.153,1.009,6.178,5.125,3.417,18.088,17.864,10.695,9.078,3.517,0,8.629,9.351,6.786,0
D300710:bin_000020,2.585,10.01,14.624,0,1.046,0,0,0.564,0,0,0,0,0,0.928,0,2.062,15.258,81.021,16.094,8.706,0,0,0,0,0,0,5.733,0,0,0,0,0,0,0,0,0,9.066,0,1.299,0,10.607,0,0,0,0,0,0,0,0,0,0,0,0,0,4.216,29.107,2.805,1.237,3.739,0,1.901,0,4.885,2.206,1.173,6.137,4.438,6.241,2.758,4.68,2.157,5.386,7.303,37.373,0
D300711:bin_000012,147.13,49.663,0,50.627,0,0,0,2.442,0,0,0,0,0,0,0,0,0,0,31.214,135.073,62.15,40.502,0,0,0,0,0,0,0,0,0,0,0,2.244,7.516,0,0,51.188,30.458,0,0.866,0,0,0,0,0,0,0,0,0,0,0,0,0,8.331,6.324,16.797,29.438,113.128,16.953,0,0,0,0,0.601,0,0,0,0.872,2.52,0.591,0,0,0.786,0
D300711:bin_000013,4.301,0,0,3.448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.62,0,0,1.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.517,0,0,0,0,0,0,0,0,0,2.264,0,0,0,0,0,0
