genome,D300242,D300243,D300244,D300245,D300246,D300247,D300248,D300249,D300250,D300251,D300252,D300253,D300254,D300255,D300256,D300257,D300258,D300259,D300260,D300261,D300262,D300263,D300264,D300265
JPB:bin_000484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JPB:bin_000485,0,0,0,3.466,0,1.131,0,0,0,0,1.086,0,0,1.188,0,0.712,0,0,0,0,0,0.925,0,0
JPB:bin_000486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JPB:bin_000487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JPB:bin_000488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JPB:bin_000489,1.093,1.799,1.374,1.285,0,3.827,1.979,1.276,0,1.12,1.913,0,1.623,0.801,2.013,1.058,1.04,0,0,0,2.3,0.871,2.186,2.004
JPB:bin_000490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.578,0
JPB:bin_000491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JPB:bin_000492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JPB:bin_000495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JPB:bin_000496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.433,0
JPB:bin_000498,2.154,10.117,11.73,5.425,0.777,2.9,20.109,5.002,4.114,3.028,3.37,4.374,7.595,4.302,8.631,7.018,1.914,0.763,0,2.361,19.423,11.046,10.881,1.952
JPB:bin_000499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JPB:bin_000500,0,0,0,0,0.595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JPB:bin_000503,0,0,0,0,0,0.715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JPB:bin_000504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JPB:bin_000505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JPB:bin_000506,0,0,0,0,0,0,1.707,3.022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.394,0
JPB:bin_000508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JPB:bin_000510,0,2.707,0,1.252,0,0,1.414,4.448,0,0,0,0,1.691,0,0,1.675,0,0,0,0,3.301,0,4.342,0
JPB:bin_000511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
