genome,D300769,D300820,D300821,D300822,D300823,D300824,D300825,D300826,D300827,D300828,D300829,D300830,D300831,D300832,D300833,D300834,D300835,D300836,D300837,D300838,D300839,D300840,D300841,D300842,D300843,D300844,D300845,D300846,D300847,D300848,D300849,D300850,D300851,D300852,D300853,D300854,D300855,D300856,D300857,D300858,D300859,D300860,D300861,D300862,D300863,D300864,D300865,D300866,D300867,D300868,D300869,D300870,D300871,D300872,D300873,D300874,D300875,D300876,D300877,D300878,D300879,D300880,D300881,D300882,D300883,D300884,D300885,D300886,D300887,D300888,D300889,D300890,D300891,D300892,D300893,D300894,D300895,D300896,D300897,D300898,D300899,D300900,D300901,D300902,D300903,D300904,D300905,D300906,D300907,D300908,D300909,D300910,D300911,D300912,D300913,D300914,D300915,D300916,D300917,D300918,D300919,D300920
D300873:bin_000038,0,2.263,3.531,1.705,2.18,2.005,1.724,0,2.406,5.73,0,4.89,1.328,1.1,0,0,0.951,1.269,0,0,0,6.812,3.369,0,0,0,1.887,1.924,2.284,2.495,0,0.929,0,0,0,0,0,0,0,1.685,2.038,0.958,1.701,1.877,0.946,1.807,0,1.408,0,0,1.41,0,2.553,0,4.122,1.582,0.957,1.225,0,0,3.989,0,3.001,1.097,4.228,0,0,4.137,1.086,0,0,0,0,0,1.512,0,2.462,3.718,0,0,0,0,0,0,0,0,0,0,0,0,0,2.474,1.7,0.962,0,1.992,3.306,1.763,0,1.495,0,1.233
D300874:bin_000005,0,0,69.4,0,0,16.76,5.032,0,0,3.696,0,0,11.257,3.486,20.636,34.629,0,1.377,0,0,0,0,0,0,0,0,29.634,6.223,6.966,7.439,0,2.125,0,0,0,0,0,0,0,11.766,6.724,6.871,0,0,12.21,1.662,9.034,6.22,0,0,0,0,12.306,8.532,0,24.522,0,0,0,0,0,0,0,9.714,31.671,15.922,14.232,33.869,3.069,0,0,0,0,0,8.168,0,0,23.729,18.188,0,0,0,0,0,0,0,0,0,0,0,7.05,6.649,8.397,4.124,3.297,0,9.368,0,5.586,14.338,1.268,3.635
D300879:bin_000009,0,21.453,47.533,3.846,1.909,2.926,4.518,0,23.439,3.595,0,16.892,2.462,1.814,1.613,11.15,0.675,23.961,0,0,0,0.807,6.437,0,0,0,3.684,2.382,3.069,6.271,0,1.642,0,0,0,0,0,0,0,2.39,3.42,4.827,5.577,4.187,10.43,4.141,2.648,3.277,0.963,4.299,2.573,0,10.221,80.119,9.884,5.619,9.966,16.308,0,0,25.431,0.799,15.665,4.378,2.093,6.183,1.216,15.084,1.893,0,0,0,0,0,5.587,0,0.677,10.295,0,0,0,0,0,0,0,0,0,0,1.539,3.158,2.39,2.579,12.367,4.236,3.652,16.254,7.906,6.842,4.63,6.709,2.307,7.374
D300882:bin_000010,0,35.96,44.875,6.782,3.941,5.276,3.575,1.99,9.588,1.994,0,4.277,4.677,1.044,1.747,10.859,0.935,1.245,0,0,0,6.466,13.826,0,0,0,7.594,4.515,5.134,4.315,0,3.109,0,0,0,1.386,0,0,0,3.47,2.925,5.673,3.808,1.921,18.366,2.559,1.708,2.967,1.878,2.682,2.118,0,21.278,20.679,5.181,1.172,1.416,6.087,0,0,29.403,2.277,16.998,14.042,3.815,1.351,3.187,27.564,1.191,0,0,0,1.219,0,1.858,0,0.639,11.551,1.11,0,0,0,0,0,0,0,0,0,0,1.356,4.004,5.388,3.386,5.485,6.785,12.34,3.252,2.421,2.53,2.184,2.38,2.244
D300883:bin_000011,0,0,0,0,0,2.321,3.157,0,0,5.535,0,6.373,4.105,0,0.723,0,0,0.681,0,0,0,3.986,0,0,0,0,21.131,2.943,20.459,0.972,0,6.422,0,0,0,0,0,0,0,8.688,0,0,0,0,2.052,5.047,1.403,2.762,0,0,0.849,0,0,0,0.902,1.795,0,0,0,0,5.784,0,1.503,0.573,13.643,0.681,2.79,2.1,0,0,0,0,0,0,2.335,0,0,1.211,3.89,0,0,0,0,0,0,0,0,0,2.896,0,0,5.018,2.098,1.912,6.023,0,0.952,0,1.244,1.039,0,0.761
D300884:bin_000003,0,0,0,0,0,6.202,0,0,0,0,0,3.577,16.108,191.081,2.563,5.444,0,22.333,0,0,0,0,14.281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33,0,0,1.236,0,38.855,75.186,79.914,78.759,233.774,0,12.238,0,0,0,0,0,23.557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300885:bin_000004,0,0,0,0,0,1.098,0,0.632,0,0,0,1.369,0,1.438,4.162,1.944,1.139,10.181,0,0,0,19.065,0,0,0,0,3.828,13.306,17.297,9.752,0,0,0,0,0,2.168,0,0,4.059,16.859,15.148,10.511,0,15.352,1.225,0,3.429,0.816,0,0,0.999,0,0,0,1.156,0,1.606,2.616,0,0.948,1.059,0,0,0,36.938,2.503,28.59,1.562,2.073,0,0,0,2.532,0,7.993,0,24.386,26.907,5.58,0,0,0,0,0,0,0,0,2.221,0,22.534,3.176,41.393,3.071,6.146,5.921,20.34,6.422,3.045,1.304,0,0,0.956
D300885:bin_000013,0,0,0,0,0,0,0,0,0,0,0,6.448,0,0,0.933,0,0,1.817,0,0,0,0.816,0,0,0,0,4.028,1.212,3.304,1.496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.251,0,0,2.032,1.37,0,0,0,0,0,0,0,0,0,0,0,0,0,23.004,0,53.204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.838,0,5.46,0,0,1.464,0,2.39,9.082,1.362,1.148,0.726,2.076
D300885:bin_000016,0,0,0,0,0,12.947,22.105,0,0,4.604,0,55.559,0,144.767,223.857,325.772,3.154,0,0,0,0,0,212.845,0,0,0,15.711,1.146,304.233,16.924,0,0,0,0,0,0,0,0,0,11.773,21.084,26.311,6.746,0,4.652,0,190.789,0,24.232,16.344,2.871,0,0,0,0,0,0,64.155,0,0.692,326.704,0,299.023,73.576,153.652,71.941,37.721,298.976,17.306,0,0,0,0,0,123.294,1.49,0,285.542,53.216,0,0,0,0,0,0,0,0,0,0,0,1.282,6.582,1.405,1.027,0.725,0,2.98,0,0.711,10.058,3.741,0
D300885:bin_000024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.831,0,0.754,0,0,0,0,0,0,0,1.204,0,0.59
