genome,M305768,M305846,M305884,M305789,M305757,M305781,M305779,M305792,M305890,M305889,M305788,M305854,M305880,M305881,M305794,M305793,M305764,M305774,M305893,M305761,M305847,M305762,M305877,M305859,M305848,M305875,M305853,M305791,M305778,M305796,M305773,M305758,M305753,M305771,M305754,M305878,M305755,M305887,M305752,M305770,M305790,M305782,M305888,M305772,M305861,M305850,M305767,M305750,M305786,M305867,M305870,M305857,M305864,M305756,M305883,M305869,M305769,M305784,M305852,M305876,M305892,M305787,M305849,M305871,M305856,M305855,M305759,M305783,M305873,M305858,M305885,M305765,M305775,M305795,M305760,M305891,M305777,M305874,M305862,M305868,M305882,M305863,M305866,M305780
IKPB:bin_000053,0,0,1.03,0,0,0,0,0,0,0,3.899,2.175,0,1.471,0,2.073,1.927,2.171,16.252,9.658,0,6.502,0,0,0,0,3.995,2.47,8.29,0,3.928,9.865,2.533,11.684,0,0,12.154,0,8.61,7.01,4.003,20.414,0,4.631,1.673,2.167,0,0,0,0,15.389,0,1.422,2.617,0,6.12,3.719,0,0,0,1.855,5.563,7.338,2.282,1.799,1.148,5.969,0,0,8.462,1.813,0,6.615,0,0,2.02,1.732,0,5.538,0,2.514,0,0,3.591
IKPB:bin_000054,0,4.599,2.386,12.287,2.444,31.053,0,0,2.601,1.317,18.376,1.272,2.167,1.734,4.52,7.468,8.621,12.2,20.894,14.682,1.986,24.879,0,6.287,0,0,9.895,16.361,14.502,0,8.34,18.029,6.487,6.579,6.412,2.065,13.493,0,19.319,9.61,15.827,13.53,3.778,5.091,5.405,6.32,0,0,22.75,2.91,10.227,0,7.255,23.15,0,7.903,14.975,6.177,0,4.764,13.972,13.035,8.01,7.683,15.68,0,11.349,0,2.954,9.342,3.068,0,48.733,0,0,8.199,5.45,0,66.948,1.478,5.897,0,8.547,7.74
IKPB:bin_000055,0,7.336,1.866,3.405,0,7.217,0,0,0,0,5.887,0,2.542,4.017,2.284,0,2.318,3.743,5.811,2.581,0,9.991,0,1.351,0,0,9.235,2.838,3.214,0,14.505,15.3,0,6.614,1.944,3.023,3.883,0,4.152,0,4.066,8.456,3.463,1.806,1.282,14.801,0,0,29.524,1.541,4.139,0,2.261,38.042,0,3.989,8.099,2.309,0,0,2.387,4.835,6.914,1.914,9.357,0,8.089,0,3.083,3.249,0,0,28.581,0,0,8.453,3.037,0,9.156,0,16.237,0,18.089,2.434
IKPB:bin_000056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IKPB:bin_000061,0,7.96,5.53,22.53,0,12.493,0,0,5.101,2.625,27.097,0,3.482,2.396,8.383,7.618,6.315,23.725,13.986,22.436,0,28.302,0,2.916,0,0,13.297,16.2,9.691,2.494,11.118,32.907,4.763,9.046,8.347,3.733,19.416,0,23.513,16.51,22.036,21.521,3.669,7.346,5.686,5.556,0,0,28.736,8.703,12.693,0,4.886,23.942,0,9.556,15.863,12.251,0,7.908,13.949,10.94,7.777,8.966,13.248,1.196,9.352,0,4.129,8.746,1.669,0,60.03,0,0,11.279,9.109,0,30.356,1.17,6.46,1.395,5.622,3.51
IKPB:bin_000062,0,0,0,2.991,0,0,0,0,0,0,3.61,0,0,0,0,2.002,0,0,2.764,5.583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,3.303,0,0,0,0,3.65,0,0,0,0,0,0,3.144,1.33,2.018,0,0,2.53,0,2.939,2.574,0,0,0,1.787,0,0,0,0,0,2.095,0,0,3.178,0,0,5.52,0,0,1.52,0,0,1.926,0,2.516,0,0,0
IKPB:bin_000063,0,0,0,0,0,3.533,0,0,0,0,0,0,0,0,0,0,0,0,3.042,0,0,2.144,0,0,0,0,0,1.968,3.188,0,0,0,2.235,0,0,0,0,0,0,1.89,2.402,2.446,0,0,0,2.085,0,0,6.239,0,1.326,0,0,4.351,0,0,0,0,1.3,0,0,13.378,0,0,6.887,0,0,0,0,1.224,0,0,0,0,0,1.375,0,0,6.698,0,0,0,0,0
IKPB:bin_000064,0,0,0,0,0,26.844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.724,0,0,0,0,0,0,0,0,0,0,0,0,5.427,0,0,1.388,0,0,0,0,0,0,0,0,0,0,1.333,0,0,1.727,0,0,0,0,0
IKPB:bin_000065,0,0,0,0,0,18.94,0,0,0,0,0,0,0,0,0,0,0,0,4.995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.533,0,0,0,0,0,0,0,2.984,0,0,0,0,0,31.989,0,0,0,0,0
IKPB:bin_000066,0,3.516,2.638,11.454,2.336,15.895,0,0,2.588,1.133,11.512,0,3.115,7.137,5.698,6.804,5.348,10.354,16.925,11.509,1.334,7.305,0,3.203,0,0,9.639,16.729,9.457,0,7.595,14.285,14.453,7.757,8.452,4.619,9.435,0,10.251,12.409,15.314,13.42,3.28,5.797,2.832,5.7,0,0,18.559,4.326,7.416,0,3.777,13.233,0,8.268,8.365,11.013,0,3.751,6.898,16.329,8.404,7.701,13.278,0,10.38,0,2.864,7.031,1.621,0,21.092,0,0,8.859,7.468,0,27.429,1.171,6.328,1.149,7.182,6.918
