genome,M303961,M303950,M303938,M303952,M303925,M303933,M303966,M303930,M303935,M303959,M303955,M303964,M303958,M303924,M303946,M303944,M303934,M303931,M303922,M303948,M303960,M303923,M303947,M303957,M303945,M303928,M303937,M303943,M303927,M303969,M303965,M303939,M303942,M303968,M303936,M303954,M303949,M303953,M303967,M303940,M303926,M303963
D300257:bin_000026,9.932,9.787,0,6.457,10.282,0,0,3.992,0,19.679,4.284,1.987,8.567,1.705,0,4.887,0,0,12.76,4.811,3.933,2.132,0,13.969,4.72,1.85,28.413,0,4.1,2.374,2.995,0,6.343,7.56,0,2.096,0,8.452,7.454,0,9.299,4.314
D300257:bin_000038,12.595,43.645,0,11.955,7.671,2.053,0,10.239,0,37.746,5.102,9.054,14.843,2.192,0,1.643,0,0,21.405,11.488,8.108,16.582,0,10.371,7.175,3.111,19.351,0,22.481,4.295,8.054,0,6.4,6.987,0,2.738,9.858,63.179,40.184,0,12.119,12.732
D300258:bin_000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300258:bin_000003,4.484,7.649,0,4.208,13.215,0,0,10.14,0,18.527,2.919,0,8.03,3.049,0,3.6,0,0,11.373,2.562,10.614,0,0,11.029,2.037,1.65,10.709,2.144,5.208,1.98,3.058,0,9.936,2.555,0,2.226,0,6.195,3.572,0,7.959,4.944
D300258:bin_000012,0,1.78,0,0,5.888,0,0,0,0,9.393,0,0,2.81,0,0,0,0,0,6.254,1.636,2.034,0,0,2.441,0,0,7.695,0,5.19,0,1.43,0,2.964,1.87,0,0,0,2.566,0,0,4.194,6.364
D300258:bin_000053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300259:bin_000025,3.766,6.305,0,1.927,9.434,0,0,6.51,0,16.596,3.565,2.121,10.279,3.259,0,2.074,0,0,15.257,4.547,2.628,2.21,0,13.627,5.066,1.712,17.668,0,23.604,1.813,4.26,0,5.171,8.205,0,1.941,3.762,9.462,4.499,0,8.739,3.359
D300260:bin_000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300261:bin_000003,2.595,3.128,0,2.768,5.13,0,0,3.034,0,11.719,0,0,3.665,0,0,0,0,0,5.728,3.699,0,1.751,0,5.042,2.881,0,7.57,0,0,3.646,3.302,0,2.063,2.076,0,1.703,0,3.242,2.558,0,2.277,2.671
D300262:bin_000009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300262:bin_000011,11.608,6.197,0,7.211,13.919,0,0,5.013,0,17.199,3.486,3.573,10.678,4.058,0,3.757,0,0,12.579,6.556,1.976,3.654,0,11.113,5.432,5.515,20.204,0,5.524,3.356,7.348,0,3.906,5.941,0,2.11,2.145,11.359,6.605,0,7.88,4.118
D300262:bin_000022,3.474,2.974,0,0,0,0,0,2.462,0,3.614,0,2.192,6.796,0,0,0,0,0,4.394,4.295,0,0,0,1.597,0,0,5.104,0,0,0,2.712,0,0,2.087,0,0,0,2.053,3.047,0,0,0
D300262:bin_000032,0,0,0,0,0,0,0,0,0,2.451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300263:bin_000027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300264:bin_000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300264:bin_000003,3.225,2.858,0,0,5.569,0,0,2.222,0,6.416,0,0,2.789,1.653,0,1.551,0,0,6.317,4.459,1.854,0,0,5.886,2.039,2.068,5.878,0,1.859,0,1.767,0,3.012,2.397,0,0,2.016,4.643,2.7,0,1.8,0
D300264:bin_000004,18.162,5.784,0,13.022,14.387,7.547,2.228,4.617,0,37.119,7.294,3.978,11.4,15.369,0,16.765,0,0,11.574,4.269,9.145,523.211,0,24.853,5.721,12.475,35.817,3.065,6.024,2.163,13.493,0,4.722,12.301,0,0,4.123,31.254,3.946,0,15.084,6.365
D300264:bin_000007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300264:bin_000013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300264:bin_000017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300264:bin_000018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300264:bin_000019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300264:bin_000020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300264:bin_000021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300264:bin_000022,5.161,0,0,0,4.937,0,0,2.612,0,9.054,2.224,1.68,3.566,2.26,0,2.228,0,0,5.524,4.553,1.788,2.706,0,5.576,2.271,2.767,10.643,0,3.45,0,4.636,0,4.107,0,0,0,1.643,4.369,5.18,0,3.188,2.449
D300264:bin_000023,0,0,0,0,1.978,0,0,0,0,5.477,0,0,2.311,0,0,0,0,0,1.693,0,0,1.871,0,0,0,0,3.992,0,0,0,1.928,0,0,0,0,0,0,2.66,1.624,0,0,0
